User Number,inLyingGroup,attention1,attention2,AttentionChecksPassed,AcademicAtt1,AcademicAtt2,AcademicAttChksPassed,AcademicScore1,AcademicScore2,AcademicScore3,AcademicScore4,AcademicScore5,AcademicScore6,AcademicScore7,AcademicScore8,AcademicScore9,AcademicScore10,AcademicScore11,AcademicScore12,AcademicScore13,AcademicScore14,AcademicScore15,AcademicScore16,AcademicScore17,AcademicScore18,AcademicScore19,AcademicScore20,AcademicScore21,AcademicScore22,AcademicScore23,AcademicScore24,AcademicScore,TotalAcademicScore
1,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
2,1,1,3,1,4,4,2,4,4,4,4,4,4,4,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90,0.96875
3,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
4,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
5,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
6,1,1,3,1,4,4,2,4,2,0,2,0,2,2,2,2,2,2,4,2,2,2,2,0,0,2,2,2,2,2,4,46,0.739583333
7,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
8,1,-3,3,1,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
9,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,2,4,4,2,4,4,4,4,0,4,84,0.9375
10,1,1,3,1,4,4,2,2,4,2,2,2,0,4,0,4,2,4,4,4,2,2,2,2,4,4,4,4,4,2,2,66,0.84375
11,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
12,1,-3,3,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
13,1,3,3,2,4,4,2,4,4,2,2,2,0,4,0,4,2,2,4,4,2,0,2,4,2,4,2,4,2,4,2,62,0.822916667
14,1,1,3,1,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,92,0.979166667
15,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
16,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
17,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
18,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
19,1,3,3,2,4,4,2,4,4,2,2,4,4,4,2,2,4,4,4,2,4,4,2,4,4,4,2,4,4,2,4,80,0.916666667
20,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,94,0.989583333
21,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-4,88,0.958333333
22,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,94,0.989583333
23,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
24,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
25,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,94,0.989583333
26,1,1,3,1,4,4,2,4,4,4,4,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90,0.96875
27,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,90,0.96875
28,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
29,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
30,1,1,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.510416667
31,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
32,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
33,1,3,3,2,4,4,2,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
34,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,0,2,4,4,4,-2,2,4,4,2,4,4,4,4,4,4,80,0.916666667
35,1,1,1,0,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
36,1,3,3,2,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4,-4,4,4,4,4,4,4,4,4,4,4,4,84,0.9375
37,1,3,3,2,4,4,2,4,4,4,4,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
38,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
39,1,3,3,2,4,4,2,2,-2,-2,0,-2,-4,4,-2,0,4,-4,-2,0,-4,-4,-4,-2,0,0,0,0,0,-2,-2,-26,0.364583333
40,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
41,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
42,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
43,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
44,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
45,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,92,0.979166667
46,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,0,4,2,4,4,4,4,4,4,-4,4,4,80,0.916666667
47,1,3,3,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,-4,2,4,80,0.916666667
48,1,3,3,2,4,4,2,4,4,2,4,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,86,0.947916667
49,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
50,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
51,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,92,0.979166667
52,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
53,1,3,3,2,4,4,2,4,4,2,2,0,2,2,2,2,4,4,2,2,4,2,2,2,2,4,4,2,4,2,2,62,0.822916667
54,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
55,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,2,4,2,2,4,4,4,4,4,4,2,4,84,0.9375
56,1,1,3,1,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,88,0.958333333
57,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
58,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,92,0.979166667
59,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
60,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,86,0.947916667
61,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
62,1,3,-1,1,4,4,2,2,2,-4,2,-2,4,2,2,0,2,-2,2,-2,2,-2,-2,2,2,2,2,-2,2,-2,4,16,0.583333333
63,1,3,3,2,4,4,2,2,2,4,4,4,4,2,4,0,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,78,0.90625
