Deliberation,Stimulation,Self-identification of introversion
63,50,11
44,35,7
,,
61,39,4
64,49,11
55,59,9
54,49,8
52,53,13
74,36,9
71,60,9
53,33,7
58,28,8
58,21,3
,,
61,59,13
56,36,4
,,
,,
55,62,12
61,58,14
64,66,14
59,65,12
50,53,8
52,53,10
56,55,12
51,16,3
65,63,11
73,75,15
64,59,10
65,64,14
58,68,15
54,52,11
55,44,9
46,23,3
64,46,5
53,34,7
47,32,6
71,73,15
64,73,14
59,62,11
70,69,10
49,51,6
58,53,9
60,38,6
66,33,6
,,
68,48,7
71,58,6
64,70,15
45,30,3
48,37,8
57,48,8
60,53,9
60,36,9
56,35,7
50,41,3
,,
47,68,13
42,39,8
62,61,12
67,65,15
43,39,6
66,59,13
63,62,10
56,28,6
51,43,6
55,25,6
64,55,5
49,48,9
64,43,8
62,33,4
69,61,8
64,70,12
50,36,6
53,55,7
57,44,5
70,51,11
,,
68,52,8
58,32,9
51,38,3
58,41,7
67,63,15
72,68,15
,,
50,24,3
56,40,11
61,59,11
73,64,15
54,47,12
,,
67,27,3
,,
69,54,14
61,34,10
66,26,4
67,36,6
73,72,15
65,44,14
51,29,5
60,23,4
68,66,10
,,
43,51,8
51,43,9
62,58,8
63,17,3
55,21,3
56,60,10
72,42,13
52,38,7
60,53,10
59,57,10
47,63,15
58,46,4
,,
59,67,13
63,35,7
61,55,8
54,25,3
74,51,13
73,73,15
59,36,5
72,41,11
62,50,5
59,52,9
68,65,12
65,44,5
53,60,15
62,44,8
,,
51,60,9
58,52,7
54,48,10
73,75,15
51,50,10
51,36,5
54,63,11
,,
56,34,3
47,38,3
,,
46,36,5
,,
,,
,,
70,68,15
73,68,15
55,45,5
,,
59,45,10
57,60,8
50,44,8
60,40,9
59,38,9
,,
59,44,10
,,
,,
,,
65,58,14
58,53,10
71,62,12
57,30,3
53,43,9
34,39,3
,,
57,48,9
69,56,15
41,52,6
57,72,15
47,33,6
56,42,4
63,36,4
68,49,7
63,39,5
64,53,8
71,38,3
65,51,7
57,54,9
,,
58,57,11
48,42,7
,,
53,53,10
55,47,15
,,
55,46,11
57,31,4
46,67,5
,,
59,71,15
56,33,6
65,53,9
59,34,8
61,34,5
47,34,8
31,22,3
64,73,7
52,34,4
75,70,15
,,
,,
44,27,3
51,54,10
52,34,9
,,
59,37,6
61,30,5
61,54,8
64,56,13
53,43,8
50,58,13
,,
57,36,3
,,
52,51,3
54,50,7
58,44,5
52,52,6
40,42,8
,,
52,42,10
57,37,6
55,50,7
,,
58,59,13
73,68,11
,,
47,20,3
59,59,12
62,66,15
,,
60,55,12
58,53,8
60,40,3
64,36,5
53,50,7
,,
56,47,4
60,51,10
69,50,8
50,48,6
49,56,10
49,54,11
66,64,12
56,29,6
73,67,15
64,65,9
72,49,12
58,51,12
42,48,4
46,34,6
50,46,10
55,40,7
50,40,8
53,30,6
69,59,7
,,
51,36,7
58,58,15
60,43,6
,,
,,
,,
75,40,11
,,
51,28,3
53,57,7
55,63,12
58,49,13
49,36,6
56,44,13
40,55,10
,,
67,69,15
,,
62,42,12
55,56,11
,,
72,70,15
66,39,6
49,36,8
51,32,5
58,26,4
54,35,6
48,48,6
,,
72,43,14
63,60,10
69,47,10
56,45,8
57,31,6
47,48,9
68,71,12
56,37,8
58,46,12
,,
46,39,8
38,23,4
64,55,15
70,43,7
55,43,8
56,58,12
54,37,4
49,49,10
66,43,9
61,35,5
,,
62,61,15
,,
61,60,11
57,66,12
,,
49,24,3
53,59,6
54,54,10
67,60,13
54,49,10
59,38,5
60,57,13
45,48,6
,,
56,57,11
,,
62,38,8
46,44,8
,,
59,46,8
39,45,10
,,
,,
59,34,6
65,50,15
54,21,3
71,50,15
65,69,13
,,
53,48,6
61,51,12
55,56,11
71,52,9
72,52,15
69,72,11
53,53,6
62,55,12
48,41,11
62,69,15
,,
72,56,14
65,59,12
70,63,12
,,
64,46,6
64,43,13
,,
65,38,7
58,44,6
58,56,12
56,32,6
40,43,9
44,45,8
68,36,9
55,39,8
,,
54,49,13
63,31,4
,,
56,40,3
57,36,9
46,54,8
52,49,7
51,32,6
50,31,3
,,
67,67,14
,,
60,72,15
54,35,4
65,44,9
52,48,7
,,
,,
68,64,15
69,62,15
44,34,7
66,38,5
72,53,13
57,39,8
61,40,13
56,51,12
44,27,3
72,69,15
,,
43,45,10
58,52,10
68,62,9
49,66,11
74,69,15
42,31,3
73,68,15
50,50,11
62,61,9
61,47,7
65,65,15
57,52,7
60,59,10
63,61,14
52,65,15
68,58,11
40,34,5
57,40,6
51,42,6
53,56,10
55,48,9
60,53,13
,,
,,
45,54,9
53,61,10
66,49,7
55,18,6
74,66,13
62,60,14
53,51,10
59,62,13
44,44,10
48,60,10
50,40,7
43,42,8
53,68,13
47,27,3
72,39,5
56,30,6
53,44,10
64,30,7
65,66,15
75,68,15
55,57,11
46,42,9
51,53,8
51,48,7
53,62,9
69,62,14
54,38,6
74,72,15
63,62,12
60,56,11
45,24,3
52,44,6
67,39,5
57,56,13
57,52,12
,,
,,
68,68,15
52,48,6
51,45,5
,,
51,45,8
64,50,9
62,61,12
46,36,3
58,63,15
47,38,4
40,32,3
70,22,6
67,56,13
62,44,8
61,66,15
,,
,,
62,63,14
62,65,15
58,50,10
53,60,8
52,44,8
,,
56,46,7
61,43,7
43,35,4
69,35,5
55,55,10
51,55,11
33,49,9
,,
57,46,11
51,53,9
55,23,6
61,55,9
61,51,7
,,
72,69,15
55,47,10
64,49,10
65,22,4
46,23,4
61,55,10
54,43,12
46,40,8
67,60,7
51,72,11
52,42,4
,,
54,50,8
63,69,13
61,60,13
54,47,11
65,64,13
63,54,8
61,44,5
,,
57,41,6
68,61,9
50,52,8
,,
39,47,6
52,47,6
45,55,7
60,43,8
61,60,9
50,63,14
55,23,3
40,46,7
41,39,6
74,32,3
72,69,14
50,61,12
42,16,3
54,34,8
62,55,13
,,
50,57,12
46,48,8
61,58,11
,,
54,52,12
62,39,6
75,71,15
,,
37,28,3
45,47,8
61,56,15
,,
73,46,8
49,46,7
63,37,9
74,67,14
56,42,6
35,25,3
55,65,15
60,51,10
63,34,7
42,35,4
45,45,8
73,32,3
,,
63,60,13
56,51,8
67,54,10
51,55,11
56,47,9
53,41,9
45,44,8
49,52,11
62,27,3
62,40,5
57,57,14
44,47,8
64,56,11
66,72,12
62,51,7
,,
57,31,7
54,51,9
40,34,7
54,47,7
58,30,3
44,29,7
61,66,10
48,40,5
54,39,6
43,42,8
62,51,10
51,41,9
49,39,6
68,53,7
41,40,7
64,45,7
56,51,10
54,64,12
54,17,3
51,61,15
64,28,8
45,45,9
,,
,,
49,34,5
45,47,8
42,31,3
63,38,4
64,46,14
,,
,,
,,
47,43,8
,,
63,59,12
60,39,5
,,
50,37,6
68,38,10
,,
73,62,13
,,
58,52,6
41,46,9
75,54,7
50,51,10
46,47,11
54,60,12
38,44,8
62,60,14
46,42,10
,,
65,43,6
62,60,9
54,54,11
50,53,14
61,35,5
,,
59,66,12
