date,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11
2011-01-01,10.221,11.86,11.861,11.04,10.221,11.041,10.221,10.221,9.401,9.401,9.401,11.861
2011-01-02,7.76,7.76,7.76,6.941,6.94,6.942,7.761,6.122,5.3,3.661,2.841,2.02
2011-01-03,2.021,2.84,3.66,3.662,3.66,2.84,2.84,1.201,1.2,0.381,-1.259,0.381
2011-01-04,2.02,2.84,3.662,4.481,5.301,4.481,3.662,2.841,2.841,2.02,2.021,1.201
2011-01-05,3.66,4.481,5.3,5.301,5.3,2.841,2.841,2.84,2.021,1.202,0.381,1.201
2011-01-06,3.66,3.662,4.481,4.481,3.661,2.022,2.02,2.02,1.2,2.021,2.021,1.201
2011-01-08,1.2,1.201,1.2,1.201,0.38,-0.438,-1.26,-1.259,-2.078,-2.079,-2.079,-2.9
2011-01-09,0.38,1.202,2.021,2.02,1.2,0.38,-0.44,-0.438,-1.26,-1.259,-1.258,-2.079
2011-01-10,1.202,1.201,1.201,1.201,1.201,1.2,1.2,-0.438,-0.439,-1.26,-1.26,-1.259
2011-01-12,1.201,2.021,1.2,1.2,2.021,1.203,1.2,0.381,-0.439,-0.44,-0.439,-1.259
2011-01-13,1.201,2.021,2.02,2.84,2.842,1.201,1.2,-0.439,-0.439,-1.257,-1.259,-2.079
2011-01-14,1.201,2.02,2.021,2.841,2.02,2.02,1.201,-0.44,0.382,-0.439,-0.438,0.381
2011-01-15,2.841,4.481,5.302,6.121,6.942,6.12,5.301,6.121,6.12,6.121,5.301,5.301
2011-01-16,2.841,3.662,4.481,3.66,2.842,2.021,1.201,0.382,0.381,0.38,1.2,1.2
2011-01-17,0.381,0.38,0.38,1.2,1.201,1.2,0.381,0.381,-0.439,-0.44,-1.259,-0.439
2011-01-18,1.2,1.201,2.021,2.021,2.021,2.021,2.02,2.021,2.02,2.021,2.021,2.02
2011-01-19,5.301,9.401,9.4,9.401,8.58,7.76,6.941,6.12,6.121,6.121,5.3,5.301
2011-01-20,5.3,4.48,5.301,6.121,5.3,5.301,3.66,3.661,3.661,2.84,2.841,2.84
2011-01-21,2.02,1.2,1.2,-0.44,-0.439,-1.258,-2.08,-2.079,-2.899,-3.72,-4.538,-4.539
2011-01-22,-4.539,-3.72,-2.9,-2.078,-2.08,-2.078,-3.717,-3.719,-4.539,-4.54,-4.539,-5.358
2011-01-23,-0.439,-1.259,-0.44,-0.439,-0.438,-1.26,-2.08,-2.079,-2.899,-2.899,-3.719,-4.54
2011-01-24,-2.08,-1.259,-1.26,-0.439,-0.44,-1.259,-1.26,-1.259,-1.259,-1.26,-1.26,-0.44
