date,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11
2011-01-01,13.542,15.191,15.191,14.371,13.582,14.391,13.581,13.581,12.791,12.791,12.771,15.261
2011-01-02,11.261,11.23,11.241,10.421,10.392,10.36,11.181,9.52,8.701,7.051,6.26,5.47
2011-01-03,5.431,6.28,7.101,7.081,7.08,6.291,6.261,4.65,4.671,3.85,2.212,3.84
2011-01-04,5.441,6.251,7.082,7.92,8.72,7.871,7.041,6.251,6.242,5.421,5.44,4.61
2011-01-05,7.07,7.89,8.71,8.71,8.711,6.28,6.251,6.231,5.431,4.58,3.762,4.57
2011-01-06,7.04,7.07,7.89,7.91,7.06,5.453,5.45,5.451,4.642,5.48,5.462,4.612
2011-01-07,4.57,4.58,4.592,4.621,4.62,4.631,4.63,2.982,3.801,3.802,3.8,3.832
2011-01-08,4.651,4.653,4.661,4.641,3.83,3.041,2.251,2.251,1.411,1.382,1.411,0.591
2011-01-09,3.901,4.722,5.572,5.56,4.74,3.92,3.081,3.11,2.3,2.29,2.291,1.45
2011-01-10,4.721,4.721,4.701,4.701,4.7,4.68,4.711,3.071,3.051,2.201,2.211,2.21
2011-01-11,4.691,4.721,4.69,3.041,3.031,3.061,3.041,3.02,3.02,3.0,2.99,3.012
2011-01-12,4.692,5.521,4.67,4.671,5.521,4.69,4.701,3.89,3.052,3.071,3.08,2.281
2011-01-13,4.752,5.591,5.57,6.401,6.371,4.71,4.691,3.021,3.042,2.201,2.201,1.401
2011-01-14,4.641,5.48,5.461,6.25,5.451,5.461,4.641,2.981,3.791,2.971,2.97,3.781
2011-01-15,6.28,7.921,8.731,9.534,10.371,9.55,8.731,9.561,9.531,9.531,8.69,8.721
2011-01-18,4.542,4.571,5.391,5.39,5.41,5.401,5.402,5.431,5.403,5.421,5.421,5.412
2011-01-19,8.671,12.771,12.762,12.771,11.921,11.12,10.271,9.441,9.411,9.391,8.571,8.551
2011-01-20,8.561,7.721,8.532,9.361,8.56,8.562,6.902,6.87,6.863,6.041,6.03,6.042
2011-01-21,5.311,4.48,4.462,2.85,2.87,2.052,1.24,1.21,0.402,-0.419,-1.25,-1.22
2011-01-22,-1.339,-0.519,0.31,1.12,1.112,1.112,-0.529,-0.52,-1.31,-1.329,-1.33,-2.15
2011-01-23,2.841,2.002,2.83,2.842,2.85,2.03,1.21,1.191,0.35,0.35,-0.498,-1.318
2011-01-24,1.261,2.082,2.07,2.89,2.86,2.071,2.07,2.07,2.091,2.061,2.09,2.912
2011-01-25,6.98,6.991,8.631,9.471,9.461,8.67,8.672,7.041,6.231,6.25,5.421,5.4
2011-01-26,5.411,5.411,5.391,5.36,5.382,4.57,nan,nan,nan,nan,nan,nan
2011-01-27,nan,nan,nan,nan,5.39,5.371,4.531,4.54,3.741,3.75,3.752,3.731
2011-01-28,3.751,3.75,5.361,4.51,5.331,6.121,6.12,6.13,6.101,5.251,6.08,6.081
2011-01-29,4.461,5.251,5.241,5.24,6.04,6.01,5.19,5.181,3.54,3.521,2.7,2.691
2011-01-30,8.311,7.471,7.451,8.251,8.25,8.251,6.63,6.621,6.621,5.772,5.78,5.76
2011-01-31,3.18,2.361,3.181,2.351,2.341,2.36,2.37,8.081,2.351,2.321,2.291,2.3
2011-02-01,3.913,3.94,4.771,5.6,5.601,5.6,5.6,5.61,4.76,4.791,4.812,3.983
2011-02-02,5.731,9.811,11.48,11.49,10.671,10.651,9.801,7.31,5.7,4.9,4.88,4.05
2011-02-03,3.891,3.92,4.77,4.76,4.732,3.91,3.931,3.931,3.901,3.081,3.051,3.842
2011-02-04,5.481,6.3,7.122,7.09,7.92,6.291,5.451,5.44,5.411,5.39,5.371,5.382
2011-02-05,4.571,4.55,4.541,4.551,4.581,5.431,7.071,7.101,7.921,6.26,6.25,6.25
2011-02-06,9.57,9.571,9.571,9.571,9.57,9.591,7.94,7.12,7.11,6.281,6.281,5.44
2011-02-07,8.761,10.38,10.412,11.25,10.431,8.77,9.581,8.76,8.761,8.761,7.12,7.931
2011-02-10,2.2,3.031,3.85,3.88,3.882,3.04,2.19,1.34,1.361,1.33,0.49,0.51
2011-02-11,4.642,5.472,7.96,8.78,7.952,7.92,7.071,6.271,4.641,3.791,3.761,2.961
2011-02-12,7.91,7.911,9.551,9.58,9.583,8.77,7.131,7.152,6.331,6.301,5.472,4.62
2011-02-13,10.291,11.142,11.97,11.992,12.781,12.75,11.911,11.941,11.94,11.95,11.921,11.95
2011-02-14,18.52,19.341,20.15,18.51,16.862,14.401,11.911,11.081,10.262,10.251,9.451,8.631
2011-02-15,7.072,8.741,9.582,9.56,9.531,8.712,7.89,7.091,6.281,5.461,5.463,4.64
