date,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11
2011-01-01,10.219,11.86,11.859,11.04,10.219,11.039,10.219,10.219,9.399,9.399,9.399,11.859
2011-01-02,7.76,7.76,7.76,6.939,6.94,6.938,7.759,6.118,5.3,3.659,2.839,2.02
2011-01-03,2.019,2.84,3.66,3.658,3.66,2.84,2.84,1.199,1.2,0.379,-1.261,0.379
2011-01-04,2.02,2.84,3.658,4.479,5.299,4.479,3.658,2.839,2.839,2.02,2.019,1.199
2011-01-05,3.66,4.479,5.3,5.299,5.3,2.839,2.839,2.84,2.019,1.198,0.379,1.199
2011-01-06,3.66,3.658,4.479,4.479,3.659,2.018,2.02,2.02,1.2,2.019,2.019,1.199
2011-01-07,1.199,1.2,1.198,1.2,1.2,1.2,1.199,-0.441,0.38,0.38,0.379,0.38
2011-01-08,1.2,1.199,1.2,1.199,0.38,-0.442,-1.26,-1.261,-2.082,-2.081,-2.081,-2.9
2011-01-09,0.38,1.198,2.019,2.02,1.2,0.38,-0.44,-0.442,-1.26,-1.261,-1.262,-2.081
2011-01-10,1.198,1.199,1.199,1.199,1.199,1.2,1.2,-0.442,-0.441,-1.26,-1.26,-1.261
2011-01-11,1.2,1.2,1.2,-0.44,-0.441,-0.441,-0.44,-0.44,-0.442,-0.441,-0.441,-0.44
2011-01-12,1.199,2.019,1.2,1.2,2.019,1.197,1.2,0.379,-0.441,-0.44,-0.441,-1.261
2011-01-13,1.199,2.019,2.02,2.84,2.838,1.199,1.2,-0.441,-0.441,-1.263,-1.261,-2.081
2011-01-14,1.199,2.02,2.019,2.839,2.02,2.02,1.199,-0.44,0.378,-0.441,-0.442,0.379
2011-01-15,2.839,4.479,5.298,6.119,6.938,6.12,5.299,6.119,6.12,6.119,5.299,5.299
2011-01-16,2.839,3.658,4.479,3.66,2.838,2.019,1.199,0.378,0.379,0.38,1.2,1.2
2011-01-17,0.379,0.38,0.38,1.2,1.199,1.2,0.379,0.379,-0.441,-0.44,-1.261,-0.441
2011-01-18,1.2,1.199,2.019,2.019,2.019,2.019,2.02,2.019,2.02,2.019,2.019,2.02
2011-01-19,5.299,9.399,9.4,9.399,8.58,7.76,6.939,6.12,6.119,6.119,5.3,5.299
2011-01-20,5.3,4.48,5.299,6.119,5.3,5.299,3.66,3.659,3.659,2.84,2.839,2.84
2011-01-21,2.02,1.2,1.2,-0.44,-0.441,-1.262,-2.08,-2.081,-2.901,-3.72,-4.542,-4.541
2011-01-22,-4.541,-3.72,-2.9,-2.082,-2.08,-2.082,-3.723,-3.721,-4.541,-4.54,-4.541,-5.362
2011-01-23,-0.441,-1.261,-0.44,-0.441,-0.442,-1.26,-2.08,-2.081,-2.901,-2.901,-3.721,-4.54
2011-01-24,-2.08,-1.261,-1.26,-0.441,-0.44,-1.261,-1.26,-1.261,-1.261,-1.26,-1.26,-0.44
2011-01-25,3.66,3.66,5.3,6.12,6.12,5.299,5.299,3.66,2.838,2.837,2.019,2.019
2011-01-26,2.02,2.019,2.02,2.02,2.018,1.2,nan,nan,nan,nan,nan,nan
2011-01-27,nan,nan,nan,nan,2.019,2.019,1.2,1.2,0.38,0.379,0.379,0.38
2011-01-28,0.379,0.378,2.018,1.2,2.018,2.84,2.84,2.839,2.839,2.02,2.839,2.84
2011-01-29,1.199,2.019,2.019,2.018,2.84,2.839,2.02,2.02,0.379,0.378,-0.443,-0.44
2011-01-30,5.299,4.479,4.479,5.299,5.3,5.3,3.66,3.66,3.659,2.839,2.839,2.84
2011-01-31,0.379,-0.44,0.378,-0.44,-0.442,-0.441,-0.442,5.3,-0.441,-0.44,-0.44,-0.44
2011-02-01,1.2,1.2,2.018,2.839,2.84,2.84,2.838,2.84,2.02,2.019,2.019,1.2
2011-02-02,2.84,6.94,8.58,8.578,7.759,7.759,6.939,4.48,2.84,2.019,2.019,1.199
2011-02-03,1.199,1.198,2.02,2.02,2.02,1.2,1.2,1.199,1.2,0.38,0.379,1.2
2011-02-04,2.838,3.658,4.479,4.48,5.298,3.659,2.84,2.838,2.84,2.839,2.84,2.84
2011-02-05,2.018,2.019,2.02,2.018,2.02,2.838,4.48,4.48,5.299,3.659,3.659,3.659
2011-02-06,6.939,6.94,6.94,6.94,6.939,6.94,5.3,4.479,4.48,3.66,3.659,2.839
2011-02-07,6.12,7.759,7.759,8.58,7.758,6.119,6.94,6.12,6.117,6.119,4.48,5.299
2011-02-08,2.839,2.837,2.02,2.019,2.02,2.019,1.2,-0.442,-0.441,-1.261,-2.08,-2.081
2011-02-09,0.379,0.379,1.2,1.2,1.199,1.199,0.378,-1.262,-1.26,-1.26,-0.44,-0.44
2011-02-10,-0.44,0.379,1.199,1.199,1.2,0.38,-0.44,-1.261,-1.26,-1.262,-2.081,-2.08
2011-02-11,2.019,2.839,5.3,6.119,5.299,5.3,4.478,3.66,2.019,1.198,1.199,0.379
2011-02-12,5.3,5.299,6.939,6.939,6.94,6.119,4.48,4.479,3.66,3.659,2.839,2.019
2011-02-13,7.759,8.58,9.4,9.4,10.22,10.219,9.4,9.399,9.4,9.4,9.4,9.398
2011-02-14,15.959,16.78,17.6,15.959,14.32,11.86,9.399,8.579,7.76,7.759,6.94,6.12
2011-02-15,4.48,6.119,6.939,6.939,6.94,6.119,5.3,4.479,3.66,2.838,2.839,2.019
2011-02-16,8.578,10.219,11.86,11.859,11.86,11.858,9.399,6.939,8.58,7.759,6.938,8.579
2011-02-17,12.679,15.139,17.6,17.599,15.96,16.777,15.139,12.68,12.678,14.32,13.5,11.86
2011-02-18,13.499,17.599,20.06,20.059,20.059,20.059,19.237,18.418,17.599,16.779,15.138,14.32
2011-02-19,11.039,11.04,11.86,11.04,11.04,10.22,7.76,6.939,6.119,6.119,5.3,4.48
2011-02-20,5.3,6.94,7.759,7.76,7.76,6.94,6.94,6.937,6.938,6.119,6.119,5.3
2011-02-21,6.119,5.299,6.119,5.3,4.48,4.479,2.839,2.839,2.838,2.02,1.199,1.198
2011-02-22,1.198,2.02,2.02,2.839,2.019,2.019,2.019,1.199,1.2,1.2,-0.44,-0.441
2011-02-23,3.66,5.3,6.119,6.94,6.938,6.938,6.119,5.3,2.84,2.839,2.84,2.019
2011-02-24,7.76,8.579,9.398,9.4,8.578,7.759,6.939,6.939,6.937,6.94,6.94,6.119
2011-02-25,15.139,15.139,15.96,11.859,6.118,6.119,6.119,5.299,5.3,4.479,3.66,3.66
2011-02-26,6.12,6.939,6.94,7.76,7.759,7.76,6.94,6.12,5.3,4.48,4.479,4.48
2011-02-27,9.398,10.22,11.04,11.858,12.678,10.219,9.399,9.4,9.4,8.58,8.58,7.758
2011-02-28,15.959,11.86,10.22,10.219,10.219,9.399,11.858,11.039,11.038,8.579,6.94,6.12
2011-03-01,5.299,6.119,6.118,6.94,6.94,6.94,6.12,5.299,5.298,3.66,2.84,2.838
2011-03-02,9.399,13.499,14.319,15.139,15.138,13.499,11.86,9.399,7.76,6.939,5.299,3.659
2011-03-03,2.02,2.017,2.839,2.839,3.659,3.658,2.84,1.199,1.2,0.38,1.199,0.38
2011-03-04,6.119,6.939,7.76,7.76,7.76,7.759,6.939,6.119,5.3,5.299,5.298,5.299
2011-03-05,11.04,11.86,12.679,11.859,12.679,12.679,12.68,11.858,11.039,11.04,10.219,11.039
2011-03-06,11.86,11.86,11.04,11.039,7.76,6.939,6.119,5.299,4.48,2.84,2.02,2.019
2011-03-07,5.3,6.119,6.12,6.94,6.938,6.938,6.119,5.299,5.299,4.479,3.659,4.479
2011-03-08,7.759,8.579,8.579,7.759,8.579,7.759,6.94,6.94,6.118,5.3,5.299,4.479
2011-03-09,6.119,6.12,6.94,7.759,6.94,6.939,6.938,6.94,6.12,6.12,6.119,6.939
2011-03-10,10.218,10.219,11.039,11.039,10.219,11.039,11.039,11.04,7.759,7.759,6.939,6.94
2011-03-11,6.937,7.759,7.76,6.938,6.94,6.94,6.118,5.3,5.299,5.299,5.3,5.299
2011-03-12,6.939,7.759,9.399,10.219,11.86,11.859,10.218,10.219,9.399,8.578,7.759,8.579
2011-03-13,11.859,11.859,11.859,12.678,11.86,11.04,9.4,7.758,6.12,5.298,5.299,3.66
2011-03-14,8.579,8.579,8.579,8.58,9.399,8.58,7.757,7.759,6.939,6.94,6.118,6.12
2011-03-15,7.759,7.759,8.579,8.58,8.579,7.759,7.758,6.94,6.94,6.119,6.12,6.12
2011-03-16,9.399,9.4,9.4,9.399,9.399,11.04,11.04,11.039,10.219,10.22,9.4,9.398
2011-03-17,13.5,14.319,13.499,14.32,13.5,13.499,11.859,11.039,10.22,10.22,9.4,10.22
2011-03-18,15.958,19.24,20.058,20.879,20.879,21.699,20.88,20.059,18.418,18.419,18.419,17.6
2011-03-19,11.86,13.499,13.5,13.499,13.5,12.68,11.859,11.04,10.219,9.399,9.399,8.58
2011-03-20,7.758,8.579,9.397,9.4,10.219,9.4,8.579,7.759,7.759,6.939,6.939,6.939
2011-03-21,11.038,13.5,15.138,15.96,15.139,15.139,14.319,16.78,15.959,11.859,11.858,11.86
2011-03-22,11.86,13.498,13.499,13.5,13.5,13.499,12.679,11.04,11.04,10.219,9.4,9.399
2011-03-23,6.939,6.939,7.759,8.579,9.399,9.4,8.579,8.578,7.76,6.119,6.12,6.118
2011-03-24,5.298,6.117,5.3,5.3,5.3,5.299,5.297,5.3,4.477,3.658,3.659,2.839
2011-03-25,6.119,6.119,7.759,6.94,6.94,6.118,5.3,5.299,5.299,5.298,4.479,3.66
2011-03-26,5.299,6.119,6.94,6.94,6.94,6.12,6.12,4.479,4.48,3.658,4.48,3.659
2011-03-27,3.658,5.299,6.119,6.12,6.94,6.12,5.297,5.299,4.478,3.659,3.659,3.659
2011-03-28,3.659,5.3,6.12,6.12,6.94,6.94,6.119,5.299,6.12,6.12,5.3,4.479
2011-03-30,6.94,7.76,7.759,4.479,4.478,3.659,3.659,3.658,2.84,2.839,2.84,2.839
2011-03-31,4.479,5.3,5.299,5.299,5.3,5.299,5.3,5.299,4.479,4.479,4.48,3.659
2011-04-01,6.938,7.759,7.76,6.94,6.94,6.938,6.94,6.94,6.12,6.119,5.299,5.3
2011-04-02,6.12,6.94,6.119,6.94,8.58,8.58,8.579,7.759,6.939,6.119,6.12,6.12
2011-04-03,11.04,11.04,11.86,11.859,11.859,11.859,11.86,10.218,10.22,10.218,9.398,9.4
2011-04-04,19.24,20.88,23.34,24.159,24.159,23.338,22.52,21.699,21.7,21.7,20.879,19.24
2011-04-05,6.94,7.759,7.759,9.398,8.579,10.22,8.577,7.76,6.94,6.94,6.12,5.3
2011-04-06,11.04,11.859,13.499,14.319,15.137,14.319,14.319,13.499,11.859,11.859,11.859,11.86
2011-04-07,11.86,14.32,15.96,17.599,17.6,14.319,12.679,11.86,11.04,11.039,9.4,8.58
2011-04-08,8.58,7.76,6.939,6.938,6.12,6.118,6.119,5.3,5.298,5.299,5.3,5.299
2011-04-09,7.759,7.76,7.758,7.76,8.579,8.579,8.579,8.579,8.58,7.76,7.76,8.579
2011-04-10,10.219,11.86,13.5,13.5,14.318,14.32,13.499,13.499,11.859,11.039,11.038,11.86
2011-04-11,17.6,19.239,22.52,23.339,23.34,23.339,22.52,22.52,20.88,20.06,19.239,16.779
2011-04-12,15.959,15.14,13.5,12.68,12.679,11.038,11.04,10.217,10.22,10.22,9.4,9.397
2011-04-13,10.219,11.039,10.219,11.039,11.859,11.86,11.039,11.039,11.039,10.22,10.22,9.399
2011-04-14,15.14,15.959,15.96,17.6,17.6,17.599,15.959,15.14,13.498,11.859,12.68,11.86
2011-04-15,14.319,15.14,15.14,15.139,14.319,13.5,11.86,10.219,9.399,9.398,8.58,7.759
2011-04-17,11.86,13.499,14.32,15.139,15.14,15.959,15.959,15.959,14.318,13.499,13.5,11.04
2011-04-19,15.139,15.14,15.14,15.138,15.96,15.959,15.139,13.499,13.5,13.499,12.679,11.86
2011-04-20,21.699,21.698,23.34,24.159,24.159,23.34,23.34,21.698,20.88,20.06,18.42,17.6
2011-04-21,11.859,12.68,13.499,14.318,14.319,13.497,13.5,11.859,11.039,10.218,10.218,9.399
2011-04-22,6.939,6.939,6.939,6.94,6.939,6.118,6.12,6.119,6.119,5.3,5.298,6.119
2011-04-23,14.32,14.32,16.779,17.598,17.599,17.6,16.779,15.96,15.139,15.959,16.779,15.139
2011-04-24,20.88,21.699,21.699,20.059,23.34,20.06,19.239,17.599,17.6,15.137,15.14,15.139
2011-04-25,20.059,21.699,22.52,23.34,21.699,21.699,20.879,20.06,20.06,18.419,17.599,16.78
2011-04-26,21.7,23.34,22.518,21.7,21.699,20.879,20.879,19.239,19.24,18.42,17.599,17.6
2011-04-27,20.059,19.239,20.879,21.7,21.7,20.059,20.059,18.42,19.239,18.419,18.419,18.42
2011-04-28,18.419,18.419,18.42,20.06,18.419,19.24,19.24,18.419,16.779,15.959,15.139,15.139
2011-04-29,15.959,15.959,17.6,15.96,15.139,14.319,14.32,11.86,12.68,11.859,10.219,11.039
2011-04-30,14.319,15.14,15.139,15.96,16.778,15.96,15.137,15.14,11.04,11.039,11.039,11.038
2011-05-01,12.68,13.499,13.5,13.5,13.499,12.679,11.86,11.859,11.859,11.859,11.859,11.86
