date,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11
2011-01-01,13.538,15.189,15.189,14.369,13.578,14.389,13.579,13.579,12.789,12.789,12.769,15.259
2011-01-02,11.259,11.23,11.239,10.419,10.388,10.36,11.179,9.52,8.699,7.049,6.26,5.47
2011-01-04,5.439,6.249,7.078,7.92,8.72,7.869,7.039,6.249,6.238,5.419,5.44,4.61
2011-01-05,7.07,7.89,8.71,8.71,8.709,6.28,6.249,6.229,5.429,4.58,3.758,4.57
2011-01-06,7.04,7.07,7.89,7.91,7.06,5.447,5.45,5.449,4.638,5.48,5.458,4.608
2011-01-07,4.57,4.58,4.588,4.619,4.62,4.629,4.63,2.978,3.799,3.798,3.8,3.828
2011-01-08,4.649,4.647,4.659,4.639,3.83,3.039,2.249,2.249,1.409,1.378,1.409,0.589
2011-01-09,3.899,4.718,5.568,5.56,4.74,3.92,3.079,3.11,2.3,2.29,2.289,1.45
2011-01-11,4.689,4.719,4.69,3.039,3.029,3.059,3.039,3.02,3.02,3.0,2.99,3.008
2011-01-12,4.688,5.519,4.67,4.669,5.519,4.69,4.699,3.89,3.048,3.069,3.08,2.279
2011-01-13,4.748,5.589,5.57,6.399,6.369,4.71,4.689,3.019,3.038,2.199,2.199,1.399
2011-01-14,4.639,5.48,5.459,6.25,5.449,5.459,4.639,2.979,3.789,2.969,2.97,3.779
2011-01-15,6.28,7.919,8.729,9.526,10.369,9.55,8.729,9.559,9.529,9.529,8.69,8.719
2011-01-16,6.34,7.178,7.969,7.15,6.32,5.5,4.7,3.849,3.819,3.789,4.61,4.609
2011-01-17,3.779,3.769,3.759,4.55,4.52,4.55,3.719,3.718,2.89,2.899,2.069,2.91
2011-01-18,4.538,4.569,5.389,5.39,5.41,5.399,5.398,5.429,5.397,5.419,5.419,5.408
2011-01-19,8.669,12.769,12.758,12.769,11.919,11.12,10.269,9.439,9.409,9.389,8.569,8.549
2011-01-21,5.309,4.48,4.458,2.85,2.87,2.048,1.24,1.21,0.398,-0.421,-1.25,-1.22
2011-01-22,-1.341,-0.521,0.31,1.12,1.108,1.108,-0.531,-0.52,-1.31,-1.331,-1.33,-2.15
2011-01-23,2.839,1.998,2.83,2.838,2.85,2.03,1.21,1.189,0.35,0.35,-0.502,-1.322
