date,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11
2011-01-01,2.84,2.021,2.022,2.841,2.842,2.84,2.02,1.201,2.841,6.121,8.581,7.76
2011-01-02,11.86,11.04,10.22,11.86,11.86,nan,10.221,9.401,9.401,8.58,7.76,7.763
2011-01-03,2.02,1.2,nan,nan,-0.44,-0.44,-1.26,-1.258,-1.26,-0.438,0.38,1.201
2011-01-04,-0.44,-0.439,-1.259,nan,-1.258,-2.079,-2.077,-2.08,-1.26,-0.44,-0.438,2.021
2011-01-05,1.2,-0.44,-0.439,nan,2.841,2.021,1.201,0.381,1.2,2.02,2.02,3.663
2011-01-06,0.38,-0.439,-0.439,nan,-0.44,-1.26,-1.259,-0.439,-0.438,0.38,1.2,2.02
2011-01-07,1.2,1.202,1.2,nan,1.2,2.02,1.201,1.202,1.2,1.201,2.021,1.202
2011-01-08,0.381,0.38,0.381,0.38,0.381,-0.438,-0.439,-0.439,-0.44,-0.439,0.381,1.2
2011-01-09,-2.899,-2.897,-2.9,-2.899,-3.718,-3.719,-2.9,-3.719,-2.899,-2.078,-1.26,-0.439
2011-01-10,-2.08,-2.08,-2.079,-2.078,-2.899,-2.9,-2.079,-2.079,-2.079,-1.259,-1.26,-0.44
2011-01-12,-0.44,-0.44,-1.259,nan,nan,-1.259,-2.079,-1.258,-0.439,-0.439,0.38,1.2
2011-01-13,-1.259,-1.259,-1.26,-1.26,-1.258,-1.26,-2.08,-2.08,-1.26,-1.259,-0.44,1.201
2011-01-14,-2.079,-2.9,-2.9,-2.9,nan,-2.899,-2.9,-2.899,-2.079,-1.26,0.381,0.38
2011-01-15,0.381,-0.439,-0.44,-0.439,-0.439,-0.44,-1.259,-1.258,-1.26,-0.439,0.38,1.2
2011-01-16,3.66,3.66,3.66,2.021,3.661,3.661,3.66,2.84,2.022,2.021,2.02,2.841
2011-01-17,1.2,1.2,0.381,0.381,0.381,0.38,0.381,-0.44,-0.44,-0.438,-0.439,-0.439
2011-01-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2011-01-19,2.022,2.021,2.02,nan,2.02,2.021,2.021,2.841,2.84,2.841,3.66,4.48
2011-01-20,3.661,3.66,3.66,3.661,3.661,2.841,2.021,2.021,2.02,2.841,3.66,4.481
2011-01-21,2.84,2.841,2.842,2.022,2.021,2.84,2.022,1.201,1.201,1.2,1.201,2.021
2011-01-22,-5.36,-5.359,-5.36,-5.358,-6.18,nan,-6.18,-6.179,-6.18,-5.36,-5.359,-4.539
2011-01-23,-5.36,-5.36,-6.179,-6.179,nan,-5.359,-5.358,-3.719,-4.539,-2.899,-1.26,-1.259
2011-01-24,-4.538,-5.36,nan,-5.358,-6.178,-6.179,-6.18,-6.18,-5.358,-4.538,-2.899,-2.899
2011-01-25,-0.439,-0.439,-0.439,nan,-1.257,-1.259,-0.439,-0.438,-0.439,1.201,2.02,2.841
2011-01-26,2.02,2.841,2.02,nan,nan,1.2,1.201,2.021,2.021,2.021,2.021,2.02
2011-01-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2011-01-28,1.2,1.202,1.2,1.202,nan,0.382,0.381,-0.438,-0.44,0.38,0.382,0.38
2011-01-29,2.021,2.021,2.02,1.2,-0.438,nan,-0.44,-0.44,0.38,0.381,0.38,0.38
2011-01-30,-0.439,-1.259,-0.439,-1.259,-1.259,-1.259,nan,-1.26,-1.26,-0.438,0.381,2.02
2011-01-31,2.842,2.021,2.02,2.021,1.201,0.38,-0.44,-0.44,-0.438,-0.439,-0.437,-0.438
2011-02-01,-0.439,-0.438,-0.44,-0.44,nan,-1.258,-1.26,-0.439,-0.439,-0.439,-0.439,0.381
2011-02-02,2.02,2.021,2.02,2.02,2.021,2.021,2.021,2.02,2.021,2.841,2.021,2.84
2011-02-03,1.2,1.202,0.381,0.382,nan,-0.439,-0.44,-1.259,-1.259,-0.44,0.382,0.381
2011-02-04,1.202,-0.439,-1.26,-1.258,nan,-1.26,-0.44,-1.259,-1.259,-0.439,1.201,2.02
2011-02-05,2.84,2.842,2.841,2.841,2.02,1.201,1.201,2.02,1.2,1.201,1.2,2.02
2011-02-06,3.66,3.661,3.662,3.661,3.66,3.661,3.661,2.84,2.841,4.48,5.3,6.12
2011-02-07,2.841,2.021,1.201,1.2,1.2,1.2,0.381,0.381,-0.439,2.022,2.84,5.3
2011-02-08,4.481,4.482,3.661,4.481,3.66,3.66,3.66,2.841,2.841,2.841,2.021,2.021
2011-02-09,-2.899,-2.899,-3.719,-4.54,nan,-4.54,-4.539,-4.539,-2.899,-2.079,-1.26,-1.259
2011-02-10,-1.26,-1.259,-1.26,nan,-1.259,-2.079,-2.079,-2.899,-2.899,-2.079,-2.08,-1.259
2011-02-11,-2.899,-2.9,-2.9,nan,nan,-3.72,-2.899,-3.719,-2.899,-2.078,-1.259,2.02
2011-02-13,1.2,1.201,1.201,1.2,1.201,nan,1.201,2.021,2.022,2.841,5.3,6.122
2011-02-14,8.58,8.581,7.76,6.94,6.12,6.121,6.941,6.94,8.581,9.4,11.043,14.322
2011-02-15,5.301,5.3,4.482,nan,2.02,2.021,1.201,1.2,1.201,2.021,2.841,3.661
2011-02-16,2.021,1.201,nan,1.2,1.2,1.2,1.201,1.201,2.02,2.843,3.661,6.941
2011-02-17,6.94,6.941,6.94,6.941,6.121,6.12,5.301,6.121,6.12,7.76,8.581,11.042
2011-02-18,11.041,11.04,11.041,11.861,11.86,11.862,11.041,10.22,10.221,10.222,11.04,11.041
2011-02-19,12.68,11.86,11.041,10.221,9.401,9.4,9.402,8.581,8.582,9.401,10.22,11.042
2011-02-20,3.66,2.84,2.84,2.02,2.02,nan,1.202,0.38,1.2,2.02,3.661,5.3
2011-02-21,6.941,6.94,6.942,6.942,6.121,6.94,10.22,10.22,6.121,6.12,6.12,6.121
2011-02-22,nan,nan,nan,nan,nan,nan,-2.078,-2.079,-2.08,-1.26,-0.44,-0.44
2011-02-23,-1.258,-1.258,-2.08,-2.079,nan,-2.079,-2.079,-2.079,-1.26,0.38,1.201,2.841
2011-02-24,2.02,2.021,1.2,1.2,nan,1.2,1.2,1.201,2.842,2.841,3.661,6.121
2011-02-25,6.121,6.122,6.121,6.121,nan,6.12,6.94,6.941,7.76,6.94,10.22,14.32
2011-02-26,2.842,2.842,2.022,2.021,2.02,2.02,2.02,2.02,2.841,3.661,5.301,5.3
2011-02-27,3.66,3.66,3.661,3.66,2.842,nan,2.841,2.84,3.662,4.481,5.302,7.761
2011-02-28,7.761,6.94,nan,6.12,nan,6.941,6.94,7.761,6.94,10.221,14.32,15.962
2011-03-01,5.3,3.661,2.841,2.021,2.021,1.201,1.202,1.201,1.201,2.022,2.841,4.48
2011-03-02,2.022,2.021,2.021,2.021,1.2,2.02,2.021,2.021,2.84,4.481,6.123,6.942
2011-03-03,2.841,2.84,1.2,1.2,-0.439,-1.258,-1.259,-2.079,-1.259,-0.44,0.381,1.2
2011-03-04,1.201,0.38,0.381,0.381,0.382,-0.44,-0.44,-0.44,0.382,2.022,2.841,4.48
2011-03-06,10.221,10.221,9.4,10.221,10.221,nan,10.22,10.222,9.4,10.221,10.221,10.221
