day,station,extreme,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23
2011-01-01,A,max,2.84,2.021,2.022,2.841,2.842,2.84,2.02,1.201,2.841,6.121,8.581,7.76,10.221,11.86,11.861,11.04,10.221,11.041,10.221,10.221,9.401,9.401,9.401,11.861
2011-01-01,A,min,2.84,2.019,2.018,2.839,2.838,2.84,2.02,1.199,2.839,6.119,8.579,7.76,10.219,11.86,11.859,11.04,10.219,11.039,10.219,10.219,9.399,9.399,9.399,11.859
2011-01-01,B,min,6.138,5.299,5.3,6.1,6.089,6.12,5.31,4.469,6.139,9.429,11.899,11.108,13.538,15.189,15.189,14.369,13.578,14.389,13.579,13.579,12.789,12.789,12.769,15.259
2011-01-01,B,max,6.142,5.301,5.3,6.1,6.091,6.12,5.31,4.471,6.141,9.431,11.901,11.112,13.542,15.191,15.191,14.371,13.582,14.391,13.581,13.581,12.791,12.791,12.771,15.261
2011-01-02,A,max,11.86,11.04,10.22,11.86,11.86,nan,10.221,9.401,9.401,8.58,7.76,7.763,7.76,7.76,7.76,6.941,6.94,6.942,7.761,6.122,5.3,3.661,2.841,2.02
2011-01-02,A,min,11.86,11.04,10.22,11.86,11.86,nan,10.219,9.399,9.399,8.58,7.76,7.757,7.76,7.76,7.76,6.939,6.94,6.938,7.759,6.118,5.3,3.659,2.839,2.02
2011-01-02,B,min,15.229,14.44,13.64,15.279,15.31,nan,13.7,12.849,12.869,12.06,11.24,11.259,11.259,11.23,11.239,10.419,10.388,10.36,11.179,9.52,8.699,7.049,6.26,5.47
2011-01-02,B,max,15.231,14.44,13.64,15.281,15.31,nan,13.7,12.851,12.871,12.06,11.24,11.261,11.261,11.23,11.241,10.421,10.392,10.36,11.181,9.52,8.701,7.051,6.26,5.47
2011-01-03,A,max,2.02,1.2,nan,nan,-0.44,-0.44,-1.26,-1.258,-1.26,-0.438,0.38,1.201,2.021,2.84,3.66,3.662,3.66,2.84,2.84,1.201,1.2,0.381,-1.259,0.381
2011-01-03,A,min,2.02,1.2,nan,nan,-0.44,-0.44,-1.26,-1.262,-1.26,-0.442,0.38,1.199,2.019,2.84,3.66,3.658,3.66,2.84,2.84,1.199,1.2,0.379,-1.261,0.379
2011-01-03,B,max,5.49,4.671,nan,nan,3.002,3.001,2.151,2.181,2.18,3.001,3.811,4.62,5.431,6.28,7.101,7.081,7.08,6.291,6.261,4.65,4.671,3.85,2.212,3.84
2011-01-04,A,max,-0.44,-0.439,-1.259,nan,-1.258,-2.079,-2.077,-2.08,-1.26,-0.44,-0.438,2.021,2.02,2.84,3.662,4.481,5.301,4.481,3.662,2.841,2.841,2.02,2.021,1.201
2011-01-04,A,min,-0.44,-0.441,-1.261,nan,-1.262,-2.081,-2.083,-2.08,-1.26,-0.44,-0.442,2.019,2.02,2.84,3.658,4.479,5.299,4.479,3.658,2.839,2.839,2.02,2.019,1.199
2011-01-04,B,min,3.039,3.009,2.169,nan,2.179,1.349,1.33,1.359,2.21,3.01,3.03,5.47,5.439,6.249,7.078,7.92,8.72,7.869,7.039,6.249,6.238,5.419,5.44,4.61
2011-01-04,B,max,3.041,3.011,2.171,nan,2.181,1.351,1.33,1.361,2.21,3.01,3.03,5.47,5.441,6.251,7.082,7.92,8.72,7.871,7.041,6.251,6.242,5.421,5.44,4.61
2011-01-05,A,max,1.2,-0.44,-0.439,nan,2.841,2.021,1.201,0.381,1.2,2.02,2.02,3.663,3.66,4.481,5.3,5.301,5.3,2.841,2.841,2.84,2.021,1.202,0.381,1.201
2011-01-05,A,min,1.2,-0.44,-0.441,nan,2.839,2.019,1.199,0.379,1.2,2.02,2.02,3.657,3.66,4.479,5.3,5.299,5.3,2.839,2.839,2.84,2.019,1.198,0.379,1.199
2011-01-05,B,min,4.598,2.979,2.959,nan,6.239,5.449,4.629,3.799,4.599,5.448,5.46,7.07,7.07,7.89,8.71,8.71,8.709,6.28,6.249,6.229,5.429,4.58,3.758,4.57
2011-01-05,B,max,4.602,2.981,2.961,nan,6.241,5.451,4.631,3.801,4.601,5.452,5.46,7.07,7.07,7.89,8.71,8.71,8.711,6.28,6.251,6.231,5.431,4.58,3.762,4.57
2011-01-06,A,max,0.38,-0.439,-0.439,nan,-0.44,-1.26,-1.259,-0.439,-0.438,0.38,1.2,2.02,3.66,3.662,4.481,4.481,3.661,2.022,2.02,2.02,1.2,2.021,2.021,1.201
2011-01-06,A,min,0.38,-0.441,-0.441,nan,-0.44,-1.26,-1.261,-0.441,-0.442,0.38,1.2,2.02,3.66,3.658,4.479,4.479,3.659,2.018,2.02,2.02,1.2,2.019,2.019,1.199
2011-01-06,B,min,3.77,2.929,2.929,nan,2.96,2.14,2.119,2.95,2.93,3.719,4.57,5.41,7.04,7.07,7.89,7.91,7.06,5.447,5.45,5.449,4.638,5.48,5.458,4.608
2011-01-06,B,max,3.77,2.931,2.931,nan,2.96,2.14,2.121,2.95,2.93,3.721,4.57,5.41,7.04,7.07,7.89,7.91,7.06,5.453,5.45,5.451,4.642,5.48,5.462,4.612
2011-01-07,A,max,1.2,1.202,1.2,nan,1.2,2.02,1.201,1.202,1.2,1.201,2.021,1.202,1.201,1.2,1.202,1.2,1.2,1.2,1.201,-0.439,0.38,0.38,0.381,0.38
